requester_id	num_followers
AYD0FLWJJUWKZ	1
A3823MZFTP65JZ	1
A6FE9VLTXNAVS	1
A246A5LRQ5NEN6	1
A31LLF548YBIE8	1
AU9HXYTGV7XZ2	1
A1B3VG4UTYL3TG	1
A27E9RPSLHPULC	1
A3MOYVGL56M5WK	1
A1I25WDZBYDOHE	1
A2OQ6OUS0W12TL	1
A358PLA1JJR94W	1
A3U4LJT22OTQZS	1
A3R4SQBDJT5KZY	1
A1PG2IN4ITZEG2	1
AWNFRFAGRVUIN	1
AAQQJ8AWX96NK	1
A1NT4JAMY68HLG	1
A1VX9787XGIFB3	1
A3768U3SVS7SE7	1
AJ0VOWLXNHPJ	1
A11LRI5DZZOFOT	1
A9NK2UMY2BDSV	1
A1NYSNRNVSHXPA	1
A2MEQDH709IZ4I	1
A3UP3IBADZYRWA	1
A3M5N5NRF0HR8O	1
A3PXUXAUARYJR6	1
A19PNHLUCHJ034	1
A2W56V7XFWUFF9	1
AABYRIQ5E6Y5Q	1
AKFI1AA4RP3H5	1
A30HMRZZ30NPSB	1
A36GMJHM1BWY1A	1
A4NYR93GJX1OK	1
A11HABGEZWI0OZ	1
AVQNI1YHJF1D0	1
A23DV8S5BL312M	1
A3CXZI2LD4I5UW	1
A1L0AFPUDAT6VX	1
ASGY1QO2JYHU2	1
A1B154OBZQK618	1
A1XIFPI36695GY	1
A10ULZPDYV8QYV	1
A1G19FR6J7V23R	1
A3K00CWEYNPSE1	1
A2JP8SUUPKMUU5	1
A3SHOK4U48WCHA	1
A33CXQ9HKBBTDA	1
A2V8FU71D2738H	1
A37KFRE3PX45GU	1
A1Y398PYJLNV19	1
A10OM0I1IXBPFE	1
APEKKLY0R9T7J	1
A22LP0UU8HQ5AW	1
A3CAOO7X177YLP	2
A1FRNYP4JBDAB6	2
A3JZVRTK8ISNQO	2
A2J5FDWXI0FX8O	2
A1K6K6465SQ89F	2
A1BDFF4NV8WDK7	2
A3RXXNTGSUSTQ9	2
A21BM2G3H641WA	2
A1E8FS7O72ISB9	2
A2FAJEMFG9FQY6	2
A1LMR1CHZZHPTD	2
A1SWLPEHDWSJ6T	2
A14RDIKJG0V5TD	2
A3JH34717GO3QX	2
A3AKVXFARRH128	2
A1YXWPXQL73YLP	2
A2D0STG8GT6AKN	2
A3OST93NH2Y2FM	2
A1J5EVHPRTA764	2
A1BK7AIKPHCBO4	2
A497PWGXCKJ1N	2
A1423FO0G8Z6D	2
AB2U5CR671RPT	2
A3GM1SF5FUOS8L	2
A1C7V4XLHDN6NQ	2
A2P5PE5QRCAFD6	2
A3G0QO2P6GWLSN	2
AUUEZCYGFAV8N	2
AIJAWNSES27WL	2
A3N5YPL2QEKIBL	2
A3UYN2NWFVL5WU	2
A2YWQR4SBL3KRI	2
A2X84UPYIFRFH2	2
AA4YFHM3C6NF5	2
A2D8GTKBK55Y6D	2
A3MOA8K5FZ11NO	2
