pay	comm	fast	fair	reviews	tos_flags	followers
3.33	5	5	5	0.04	0	1
3.33	3	3	3	0.03	0	1
4.33	5	5	5	0.08	0	1
4.5	0	5	5	0.03	0	1
1.33	1	5	5	0.07	0	1
4.33	4	5	4	0.03	0	1
3.33	3.67	5	5	0.03	0	1
5	0	5	5	0.01	0	1
4.5	0	5	5	0.02	0	1
5	3	5	5	0.02	0	1
4.67	0	5	5	0.03	0	1
4.5	1	5	5	0.02	0	1
3.25	5	5	5	0.04	0.21	1
3	3	4.5	4.5	0.13	0	1
1	0	5	5	0.02	0	1
3.27	4.2	3.75	4	0.1	0	1
3.92	5	5	5	0.12	0	1
1	0	0	0	0.05	0	1
3	1	3	3	0.05	0	1
4	5	4	5	0.02	0	1
3.67	0	5	5	0.03	0	1
3	0	0	0	0.02	0	1
4.75	0	4.75	4.5	0.04	0	1
4.2	0	4.5	5	0.05	0	1
3.03	5	5	5	0.29	0	1
3.6	1	3.4	2.71	0.07	0	1
0	0	0	0	0.01	0	1
3	3	5	5	0.01	0	1
4	0	5	5	0.02	0	1
1	0	0	0	0.01	0	1
2	2	1.33	3	0.05	0	1
1.33	1	3.5	3	0.03	0	1
3.93	5	4.58	5	0.13	0	1
5	5	5	5	0.02	0	1
1	1	1	0	0.02	0	1
1	1	1	1	0.02	0	1
3.14	4	4.75	4	0.07	0	1
3.67	5	3.67	3.67	0.03	0	1
3.61	3	3.94	3.67	0.17	0	1
5	3.5	5	5	0.02	0	1
5	3	5	5	0.02	0	1
4.83	5	4.96	5	0.29	0	1
4.5	0	5	5	0.02	0	1
4.78	3	5	5	0.08	0	1
4	5	3	1	0.06	0	1
5	5	5	5	0.16	0	1
4.47	5	5	5	0.15	0	1
4	0	4	5	0.03	0	1
4.17	5	5	5	0.06	0	1
5	0	5	5	0.02	0	1
4.4	5	4.25	5	0.09	0	1
2.94	3.41	3.2	2.97	0.32	0	1
4	5	4	5	0.01	0	1
5	0	5	5	0.02	0	1
1.5	0	5	5	0.02	0	1
5	0	5	5	0.01	0	1
2	4.33	4.5	5	0.04	0	1
3	5	4	5	0.03	0	1
1.33	2.5	1.86	1.56	0.1	0	2
3	3.67	4	3.4	0.05	0	2
2.33	2.33	2.33	2.33	0.03	0	2
4.7	5	5	5	0.09	0	2
4.6	5	5	5	0.05	0	2
5	5	5	5	0.11	0	2
4.83	4.65	4.89	4.69	0.58	0	2
3.79	4.14	4.54	4.38	0.13	0	2
4.67	5	5	5	0.08	0	2
1.67	1	2.5	3	0.03	0	2
4.92	4.64	4.83	5	0.12	0	2
3.27	4.83	5	5	0.1	0	2
4.15	3.69	4.43	4.54	1.19	0.83	2
5	0	5	5	0.02	0	2
3.52	2.65	3.83	3.69	0.92	0.83	2
4.85	4.96	4.97	5	1.19	0	2
3.32	4.15	4.39	4.57	0.49	0.21	2
3.4	3	3.82	3.72	0.3	0	2
3.41	4	4.59	4.69	0.68	0	2
4.88	5	4.67	5	0.08	0	2
4.15	5	5	5	0.12	0	2
4.07	4.79	4.78	4.83	0.55	0	2
3.29	3.4	4.08	4.67	0.15	0.21	2
4.17	0	5	5	0.06	0	2
3.42	2.95	3.14	4.26	0.43	0	2
3.65	3.5	3.46	3.34	0.45	0.42	2
4.5	5	4.5	5	0.02	0	2
4	0	4	5	0.02	0	2
4	3	4.75	4	0.04	0	2
4.5	0	4.5	5	0.02	0	2
4.54	5	5	5	0.12	0	2
3.6	2.33	4.6	4.4	0.1	0.21	2
4.5	3.67	4.9	4.6	0.1	0	2
2.78	3.16	3.55	2.88	0.24	0	2
4.86	0	5	5	0.08	0.21	2
4	2.89	4	3.36	0.13	0	2
4.27	4.6	4.7	5	0.11	0	2
3.63	3.92	4.35	3.94	0.18	0	2
3.27	3.67	4.56	4.56	0.1	0	2
1.65	1.3	2.2	1.76	0.58	0	2
3.75	1.67	5	4	0.07	0	2
3.4	5	5	5	0.14	0	2
4.36	2.78	4.38	4.31	0.36	0	2
4.86	5	4.89	4.81	0.38	0	2
5	0	5	5	0.01	0	2
3.33	1	5	5	0.03	0	2
5	5	5	5	0.02	0	2
3.45	2.27	3.7	3.57	0.21	0	2
3.92	3.15	3.89	3.63	0.41	0.21	2
4.67	5	4.67	5	0.03	0	2
3.07	2.13	3.06	2.84	1.31	1.67	2
2.89	3.46	4.17	4.26	1.05	0.21	2
2.38	3.18	3.88	3.41	0.28	0	2
3.29	2.85	4.6	4	0.5	0	2
3.19	2.52	3.85	4.42	0.73	0	2
4.04	5	5	5	0.43	0	2
5	0	5	5	0.01	0	2
3	4.2	4.33	4.46	0.2	0	2
3.8	3.25	3.88	4	0.19	0	2
4.17	0	5	5	0.06	0	2
3.21	2.63	3.74	3.58	0.25	0	2
2.26	1.67	3.69	3.47	0.2	0	2
4.75	5	5	5	0.16	0	2
3.54	2.5	3	4.45	0.13	0	2
4.53	5	5	5	0.16	0	2
3.43	2.71	3.5	3.36	0.13	0	2
1.71	1.36	1.88	2.25	0.22	0	2
4.18	2.6	4.88	4.94	0.25	0	2
3.88	3.85	3.87	4.16	1.06	0.21	2
3.29	5	5	5	0.08	0	2
3.86	4.28	4.21	4.47	0.77	0	2
2.38	3	3.4	4.2	0.08	0.21	2
3.25	4.83	4.88	5	0.16	0	2
4.88	5	5	5	0.08	0	2
4.5	5	5	4.2	0.05	0	2
4.25	4.83	4.79	5	0.18	0.21	2
3.18	4.63	4.75	4.69	0.48	0	2
3.58	5	5	4.45	0.12	0	2
3.37	2.44	3.19	3.75	0.55	0	2
4.63	4.33	5	4.5	0.08	0	2
3	2.44	3.69	3.4	0.43	0	2
2.38	3	4	3.2	0.09	0	2
2.63	1	2.57	3.6	0.09	0.21	2
2.53	1	1.29	2.27	0.18	0.42	2
4	3	4.6	4.73	0.16	0	2
5	0	5	5	0.03	0	2
5	5	5	5	0.02	0	2
4.77	4.67	4.96	4.9	0.49	0	2
3.79	3.4	3.65	3.82	0.19	0	2
3.26	3.86	4.22	4.31	0.34	0	2
4.91	4.68	4.95	4.95	0.83	0	2
4.7	4.44	4.79	4.78	0.78	0	2
4.57	4.1	4.62	4.72	0.46	0	2
5	5	5	5	0.02	0	2
3.12	5	4.57	5	0.16	0	2
3.53	3.58	4.12	3.84	0.22	0	2
3.43	4.56	4.96	4.83	0.39	0	2
2.7	3.74	3.6	3.47	0.74	0.21	2
4.4	4.29	4.13	4.5	0.2	0	2
4.69	5	4.69	5	0.13	0	2
2.22	2.5	3.45	2.82	0.1	0	2
4.13	4.41	4.76	4.68	0.83	0	2
2.73	1.57	3.86	3.52	0.44	0.42	2
4.52	3.8	4.41	4.3	0.34	0.42	2
4.19	4.35	4.69	4.84	0.74	0.42	2
5	0	2.11	5	0.09	0.21	2
2.56	3.67	3.29	3.71	0.09	0.63	2
4.67	5	4.67	5	0.03	0	2
3.08	1.8	3.56	4.11	0.2	0.63	2
4.67	4	3.5	4.78	0.11	0	2
3.75	0	5	5	0.04	0	2
2.67	5	5	5	0.03	0	2
4.15	3.29	4.29	3.92	0.18	0	2
1	1	1	1	0.03	0.21	2
1.67	1	3	3	0.03	0	2
2.5	2.5	2.5	2.5	0.02	0	2
4.13	4.43	3.93	4.14	0.15	0	2
4.77	5	4.95	5	0.21	0	2
5	4	4.75	4.75	0.04	0	2
3.6	1.5	4.25	4	0.06	0	2
4.57	5	4.71	4.71	0.07	0	2
4.33	3.92	4.62	4.72	0.47	0.63	2
5	5	5	5	0.02	0	2
2.67	0	4.8	5	0.08	0	2
2	2.2	3.2	2.6	0.07	0	2
4.5	5	5	4.94	0.18	0	2
2.63	5	5	3.29	0.09	0	2
3	3.5	3.6	2.8	0.06	0	2
4.7	4.7	4.81	4.81	0.81	0	2
4.94	4.69	4.65	5	0.37	0	2
4.33	5	5	5	0.07	0	2
