year,batch_size,instances
2014,3196,1
2014,1561,1
2014,3873,1
2014,3877,1
2014,26529,1
2014,1280,1
2014,11,390
2014,10,1388
2014,7564,1
2014,12,424
2014,15,452
2014,14,297
2014,17,275
2014,16,386
2014,19,254
2014,18,232
2014,5715,1
2014,5713,1
2014,46238,1
2014,1925,3
2014,3901,1
2014,3902,1
2014,3903,1
2014,103808,1
2014,3908,1
2014,4760,1
2014,23347,1
2014,4762,1
2014,4767,1
2014,11482,1
2014,11249,1
2014,4162,2
2014,4161,1
2014,9959,1
2014,9950,1
2014,688,2
2014,201,20
2014,200,143
2014,203,12
2014,202,11
2014,205,8
2014,204,12
2014,207,16
2014,206,9
2014,209,13
2014,208,10
2014,2745,1
2014,685,5
2014,4706,2
2014,1572,2
2014,22742,1
2014,3191,1
2014,837,2
2014,1570,2
2014,12684,1
2014,2230,1
2014,2233,3
2014,2232,1
2014,2234,2
2014,5935,1
2014,5934,1
2014,2187,1
2014,7814,2
2014,17575,1
2014,3498,2
2014,3499,1
2014,3494,1
2014,7818,1
2014,3491,1
2014,2094,2
2014,516,4
2014,2091,2
2014,4575,1
2014,8422,1
2014,3657,1
2014,2098,2
2014,2524,1
2014,2527,2
2014,2188,2
2014,2521,1
2014,2529,2
2014,2664,2
2014,1201,2
2014,4601,1
2014,2663,1
2014,4888,1
2014,2709,1
2014,2708,1
2014,4882,1
2014,4883,1
2014,4884,1
2014,5068,1
2014,2702,1
2014,7962,1
2014,9179,1
2014,2216,1
2014,4408,2
2014,1828,1
2014,4405,1
2014,1826,1
2014,1821,2
2014,4401,3
2014,16974,1
2014,928,5
2014,929,3
2014,2145,1
2014,2412,1
2014,4978,2
2014,2414,1
2014,2417,1
2014,2416,1
2014,920,2
2014,921,4
2014,922,2
2014,923,2
2014,924,3
2014,4971,1
2014,926,4
2014,2148,2
2014,5396,2
2014,2411,1
2014,1921,1
2014,1922,1
2014,1923,2
2014,3273,2
2014,1927,1
2014,1929,1
2014,9711,1
2014,44588,1
2014,833,3
2014,830,7
2014,831,3
2014,836,4
2014,8889,1
2014,834,3
2014,835,1
2014,838,2
2014,839,1
2014,3478,1
2014,3479,1
2014,491,7
2014,3,11190
2014,12310,1
2014,1947,1
2014,13223,1
2014,4223,1
2014,15570,1
2014,54716,1
2014,14945,1
2014,1138,1
2014,30179,1
2014,3005,4
2014,5584,1
2014,3941,1
2014,18999,1
2014,3319,1
2014,7022,1
2014,10928,1
2014,9000,1
2014,3311,1
2014,3312,1
2014,3317,1
2014,3316,2
2014,784,8
2014,785,3
2014,2726,1
2014,787,2
2014,780,3
2014,7599,2
2014,782,5
2014,783,4
2014,1726,3
2014,5244,1
2014,1725,2
2014,788,4
2014,789,2
2014,1720,2
2014,1721,3
2014,4380,1
2014,30711,1
2014,60,98
2014,61,54
2014,62,32
2014,3006,5
2014,64,47
2014,65,49
2014,66,46
2014,67,55
2014,68,66
2014,69,31
2014,3009,1
2014,3008,2
2014,1371,1
2014,7028,1
2014,20719,1
2014,406,11
2014,1583,1
2014,1580,3
2014,1586,3
2014,1587,1
2014,1584,5
2014,1585,1
2014,2433,1
2014,1038,2
2014,1039,2
2014,508,2
2014,509,5
2014,506,5
2014,507,5
2014,504,9
2014,505,4
2014,502,2
2014,503,6
2014,500,73
2014,501,8
2014,630,4
2014,1213,2
2014,632,3
2014,633,3
2014,634,6
2014,401,4
2014,1214,1
2014,637,3
2014,638,4
2014,639,2
2014,1218,3
2014,8065,1
2014,786,1
2014,6526,1
2014,4376,1
2014,8263,1
2014,2899,1
2014,9391,1
2014,2895,1
2014,14543,1
2014,1454,3
2014,1107,1
2014,1104,1
2014,1980,1
2014,1450,2
2014,1103,4
